REFERENCE,MODEL,ROUGE1,ROUGE2,ROUGEL,BLEU1,BLEU2,BLEU3,BLEU4,COS
snapshot returns a stable snapshot of the key-value entries.,snapshot returns a stable snapshot of the key - value entries .,100.0,100.0,100.0,75.0,69.08,62.03,57.07,100.0
compare two strings lexicographically.,compare compares two strings .,75.0,33.33,75.0,80.0,44.72,0.0,0.0,87.48
associate a template with html renderer.,sethtmltemplate associate a template with html renderer .,92.31,90.91,92.31,87.5,86.6,85.5,84.09,86.2
check if a string contains only ascii characters.,isascii returns true if the string s is encoded in the ascii character set .,27.27,0.0,27.27,26.67,0.0,0.0,0.0,57.84
sets up a webtest.server ready for testing all routes registered via httpserver.registerroutes(). optionally customize httpserver configuration by providing apitestserveroption options.,setupapitestserver creates an apitestserver with some reasonable defaults .,0.0,0.0,0.0,1.35,0.0,0.0,0.0,58.52
returns the max between two numbers.,max returns the larger of two integers,61.54,18.18,46.15,57.14,30.86,0.0,0.0,82.08
creates a dummy alert definition to be used by the tests.,createtestalertrule creates a mock alert rule .,35.29,13.33,35.29,27.97,15.11,0.0,0.0,59.16
bind is a helper function for given interface object and returns a gin middleware.,bind is the handler that sets the handler to a new instance of the object passed as the first argument . it is equivalent to calling the method on the router with a pointer receiver .,20.83,4.35,20.83,16.67,6.9,0.0,0.0,58.28
sends bitcoin to the given address.,sendbitcoin sends xlm to the given address with the given amount via the api . blockcypher api .,45.45,30.0,45.45,33.33,24.25,19.45,14.88,49.39
will parse x-forwarded-for header and return the trusted client ip address.,parse a http2 header value into an ip address string and validate the header is a trusted proxy header .,43.75,6.67,31.25,40.0,14.51,0.0,0.0,57.24
sets the label property of a new form.,setlabel sets the given label on the given form node .,44.44,12.5,44.44,45.45,21.32,0.0,0.0,73.86
return the number of permutations of a given string.,permutations returns the number of permutations of s .,58.82,53.33,58.82,59.66,51.66,46.78,41.8,75.19
generate random maze.,generatemaze generates the maze of the given size .,18.18,0.0,18.18,22.22,0.0,0.0,0.0,72.71
compares up to n elements of two arrays and returns the number of elements in common between the two arrays.,arrayintersection returns the count of elements common to arr1 and arr2 .,45.16,13.79,32.26,31.49,16.45,0.0,0.0,57.35
contains reports whether s contains x.,contains is a helper function that returns true if x is in s .,31.58,0.0,21.05,28.57,0.0,0.0,0.0,77.18
create nft token.,createnft creates the nft under the btc node specified by the given name and symbol .,11.11,0.0,11.11,12.5,0.0,0.0,0.0,61.98
"provides a slice of bytes owned by the segment, to reduce extra copying of memory.",alloc allocs numbytes bytes from the segment . if the allocation fails erralloctoolarge is returned . if the number of bytes in the segment is greater than the total capacity erralloctoolarge is returned . a nil slice and nil error are returned if the allocation exceeds the buffer cap . errinvalidbytes is returned if the number of bytes in the segment is not large enough . errinvalidbytes may be returned if the size of the segment is less than the buffer cap .,15.22,4.44,15.22,9.64,4.85,0.0,0.0,53.88
send the error response to the client.,errorresponse writes an internal server error response to the response writer .,44.44,37.5,44.44,41.67,33.71,28.33,22.42,60.45
returns the last handler in the chain. i.e. the last handler is the main one.,last returns the last handler in the chain . ie . the last handler is the main own .,81.25,73.33,81.25,79.89,73.99,69.52,65.08,92.24
calculate the quartile of a list of numbers. the quartile is the middle value of the set of numbers.,quartile returns the quartile value of a slice of float64s .,48.28,22.22,41.38,29.3,18.82,0.0,0.0,54.24
