REFERENCE,MODEL,ROUGE1,ROUGE2,ROUGEL,BLEU1,BLEU2,BLEU3,BLEU4,COS
snapshot returns a stable snapshot of the key-value entries.,snapshot returns a snapshot of the latest snapshot.,66.67,50.0,66.67,69.6,55.8,43.02,0.0,74.01
compare two strings lexicographically.,compare returns an integer indicating whether a is less than b or 1 if a is greater than b.,8.7,0.0,8.7,10.0,0.0,0.0,0.0,45.16
associate a template with html renderer.,sethtmltemplate sets the html template engine.,33.33,0.0,16.67,42.86,0.0,0.0,0.0,57.92
check if a string contains only ascii characters.,returns true if all characters in s are more than unicode.maxascii.,20.0,0.0,20.0,21.43,0.0,0.0,0.0,60.4
sets up a webtest.server ready for testing all routes registered via httpserver.registerroutes(). optionally customize httpserver configuration by providing apitestserveroption options.,setupapitestserver creates a new api test server.,13.79,0.0,13.79,3.08,0.0,0.0,0.0,52.81
returns the max between two numbers.,returns the maximum of two integers.,50.0,20.0,50.0,57.14,30.86,0.0,0.0,82.55
creates a dummy alert definition to be used by the tests.,createtestalertrule creates a test alert rule.,35.29,13.33,35.29,27.97,15.11,0.0,0.0,61.35
bind is a helper function for given interface object and returns a gin middleware.,bind returns a new bind middleware for the given value.,50.0,9.09,33.33,44.24,17.54,0.0,0.0,62.4
sends bitcoin to the given address.,sends a bitcoin transaction to the given address.,85.71,50.0,85.71,77.78,62.36,55.03,48.55,93.19
will parse x-forwarded-for header and return the trusted client ip address.,returns the client ip of the header.,40.0,11.11,30.0,37.91,18.12,0.0,0.0,69.29
sets the label property of a new form.,setlabel sets the given label as the default value of the form.,50.0,11.11,50.0,46.15,27.74,0.0,0.0,79.15
return the number of permutations of a given string.,returns the number of permutations of the string s.,66.67,50.0,66.67,70.0,55.78,48.86,42.73,93.8
generate random maze.,generatemaze generates a maze of the given width and height.,15.38,0.0,15.38,18.18,0.0,0.0,0.0,72.01
compares up to n elements of two arrays and returns the number of elements in common between the two arrays.,returns the number of elements in the given array.,48.28,37.04,48.28,26.63,22.19,20.16,18.49,60.52
contains reports whether s contains x.,returns true if the slice contains the given node.,13.33,0.0,13.33,20.0,0.0,0.0,0.0,28.28
create nft token.,create a new block consensus transaction.,22.22,0.0,22.22,28.57,0.0,0.0,0.0,29.9
"provides a slice of bytes owned by the segment, to reduce extra copying of memory.",alloc allocates numbytes bytes from the segment buffer.,26.09,9.52,26.09,18.27,9.69,0.0,0.0,61.96
send the error response to the client.,writes the error to the response.,76.92,36.36,61.54,74.3,46.34,0.0,0.0,64.07
returns the last handler in the chain. i.e. the last handler is the main one.,last returns the last handler in the chain.,66.67,54.55,58.33,29.46,27.55,26.76,26.19,90.75
calculate the quartile of a list of numbers. the quartile is the middle value of the set of numbers.,returns the nearest value in the given slice.,22.22,0.0,22.22,11.72,0.0,0.0,0.0,32.35
