REFERENCE,MODEL,ROUGE1,ROUGE2,ROUGEL,BLEU1,BLEU2,BLEU3,BLEU4,COS
snapshot returns a stable snapshot of the key-value entries.,snapshot returns a snapshot of the collection .,70.59,53.33,70.59,68.15,55.07,42.86,0.0,70.55
compare two strings lexicographically.,compare returns 0 if a is less than b,15.38,0.0,15.38,11.11,0.0,0.0,0.0,47.69
associate a template with html renderer.,sethtmltemplate sets the html template for the engine .,28.57,0.0,14.29,33.33,0.0,0.0,0.0,57.28
check if a string contains only ascii characters.,isascii returns true if the string contains at least unicode . maxascii characters .,40.0,11.11,40.0,35.71,23.44,0.0,0.0,59.85
sets up a webtest.server ready for testing all routes registered via httpserver.registerroutes(). optionally customize httpserver configuration by providing apitestserveroption options.,setupapitestserver creates a new webtest . server for the api test server .,24.24,6.45,24.24,14.56,8.75,6.03,0.0,63.59
returns the max between two numbers.,max returns the largest of two ints,61.54,18.18,46.15,57.14,30.86,0.0,0.0,71.55
creates a dummy alert definition to be used by the tests.,createtestalertrule creates a test alert rule,35.29,13.33,35.29,18.39,11.63,0.0,0.0,55.15
bind is a helper function for given interface object and returns a gin middleware.,bind creates a new bind handler for the given value .,33.33,0.0,33.33,31.6,0.0,0.0,0.0,48.76
sends bitcoin to the given address.,sendbitcoin sends a bitcoin transaction to the given address .,80.0,46.15,80.0,70.0,55.78,48.86,42.73,85.45
will parse x-forwarded-for header and return the trusted client ip address.,validateheader checks if the given header is a valid client ip .,33.33,9.09,25.0,41.67,19.46,0.0,0.0,64.09
sets the label property of a new form.,setlabel sets the label of the form .,66.67,30.77,66.67,66.19,50.03,33.27,0.0,85.89
return the number of permutations of a given string.,permutations returns the number of permutations of a string .,77.78,62.5,77.78,80.0,73.03,64.37,58.14,94.57
generate random maze.,generatemaze generates a maze of the given width and height .,15.38,0.0,15.38,18.18,0.0,0.0,0.0,72.01
compares up to n elements of two arrays and returns the number of elements in common between the two arrays.,arrayintersection returns the number of elements in the array that are not in the array,40.0,30.3,40.0,31.28,27.37,24.9,22.56,45.81
contains reports whether s contains x.,contains returns true if the given slice contains the given node .,23.53,0.0,23.53,25.0,0.0,0.0,0.0,49.65
create nft token.,createnft creates a new nft .,25.0,0.0,25.0,33.33,0.0,0.0,0.0,62.86
"provides a slice of bytes owned by the segment, to reduce extra copying of memory.",alloc allocates a number of bytes to the segment .,50.0,18.18,41.67,34.76,19.59,0.0,0.0,65.95
send the error response to the client.,errorresponse writes the error response to the response writer .,62.5,57.14,62.5,60.0,51.64,46.42,41.11,58.63
returns the last handler in the chain. i.e. the last handler is the main one.,last returns the last handler in the chain or nil if no handler was found .,58.06,41.38,51.61,48.68,38.94,34.81,31.71,85.89
calculate the quartile of a list of numbers. the quartile is the middle value of the set of numbers.,quartile returns the quartile of a slice of float64s .,42.86,23.08,35.71,23.3,16.08,12.91,10.06,53.36
