REFERENCE,MODEL,ROUGE1,ROUGE2,ROUGEL,BLEU1,BLEU2,BLEU3,BLEU4,COS
snapshot returns a stable snapshot of the key-value entries.,snapshot returns a snapshot of this collection . it is safe to call snapshot concurrently but it s safe to call concurrently with m . m . get and m . release on a read lock .,23.81,15.0,23.81,16.22,11.62,7.28,0.0,61.31
compare two strings lexicographically.,compare returns an integer indicating whether a is less than b .,13.33,0.0,13.33,16.67,0.0,0.0,0.0,50.9
associate a template with html renderer.,sethtmltemplate sets html renderer,40.0,25.0,40.0,23.62,19.28,0.0,0.0,70.05
check if a string contains only ascii characters.,isascii returns true if the string is a valid unicode string that is less than unicode . maxascii .,24.0,0.0,24.0,21.05,0.0,0.0,0.0,53.36
sets up a webtest.server ready for testing all routes registered via httpserver.registerroutes(). optionally customize httpserver configuration by providing apitestserveroption options.,setupapitestserver creates a webtest server for the given testing . t instance .,30.3,12.9,30.3,16.98,6.68,0.0,0.0,63.56
returns the max between two numbers.,max returns the maximum value of two integers,57.14,16.67,42.86,50.0,26.73,0.0,0.0,82.83
creates a dummy alert definition to be used by the tests.,createtestalertrule creates a test alert rule model .,33.33,12.5,33.33,30.33,16.21,0.0,0.0,60.98
bind is a helper function for given interface object and returns a gin middleware.,bind sets the value of the given value to a pointer . panics if the value of the passed type is not a pointer .,27.03,0.0,16.22,24.0,0.0,0.0,0.0,41.26
sends bitcoin to the given address.,sendbitcoin pushes a bitcoin address to the blockcypher node,53.33,15.38,40.0,44.44,23.57,0.0,0.0,51.16
will parse x-forwarded-for header and return the trusted client ip address.,validateheader returns client ip from header .,31.58,11.76,21.05,27.97,15.11,0.0,0.0,65.49
sets the label property of a new form.,setlabel sets the label attribute of form node .,62.5,28.57,62.5,66.67,40.82,28.77,0.0,76.89
return the number of permutations of a given string.,permutations returns the number of possible random numbers in a string .,60.0,22.22,50.0,58.33,39.89,25.15,0.0,81.39
generate random maze.,generatemaze returns a random maze of given width and height .,30.77,18.18,30.77,27.27,16.51,0.0,0.0,78.97
compares up to n elements of two arrays and returns the number of elements in common between the two arrays.,arrayintersection returns the number of n items in arr1 and arr2 . arr1 and arr2 are the same length as arr1 . arr2 must be a slice of ints long or arr2 must be long or arr1 is empty . arr1 and arr2 are the same length as arr2 . arr1 and arr2 are the same length as arr2 . arr1 and arr2 are the same length . arr1 and arr2 are the same length . arr1 and arr2 are the same length . arr1 and arr2 are the,17.82,6.06,11.88,11.24,6.19,4.45,3.18,51.54
contains reports whether s contains x.,contains returns true if the given node is in the given list .,11.11,0.0,11.11,15.38,0.0,0.0,0.0,53.77
create nft token.,createnft creates a nft node with the given name symbol and supply number .,12.5,0.0,12.5,14.29,0.0,0.0,0.0,59.95
"provides a slice of bytes owned by the segment, to reduce extra copying of memory.",alloc allocates a segment with numbytes bytes .,27.27,0.0,18.18,16.23,0.0,0.0,0.0,59.37
send the error response to the client.,errorresponse writes a response with status 500 and a given error .,22.22,0.0,11.11,25.0,0.0,0.0,0.0,56.76
returns the last handler in the chain. i.e. the last handler is the main one.,last returns the last handlerfunc in the chain or nil if no such handlerfunc is defined .,50.0,26.67,43.75,44.38,30.49,21.82,0.0,82.53
calculate the quartile of a list of numbers. the quartile is the middle value of the set of numbers.,quartile returns thequartile of numbers,25.0,9.09,25.0,2.45,1.58,0.0,0.0,70.6
