REFERENCE,MODEL,ROUGE1,ROUGE2,ROUGEL,BLEU1,BLEU2,BLEU3,BLEU4,COS
snapshot returns a stable snapshot of the key-value entries.,snapshot returns a snapshot of the collection.,70.59,53.33,70.59,68.15,55.07,42.86,0.0,70.55
compare two strings lexicographically.,compares two strings.,57.14,40.0,57.14,58.41,38.94,0.0,0.0,85.38
associate a template with html renderer.,sethtmltemplate sets the html template for the engine,28.57,0.0,14.29,25.0,0.0,0.0,0.0,57.35
check if a string contains only ascii characters.,is the given string a valid ascii?,40.0,0.0,26.67,33.09,0.0,0.0,0.0,70.28
sets up a webtest.server ready for testing all routes registered via httpserver.registerroutes(). optionally customize httpserver configuration by providing apitestserveroption options.,setupapitestserver creates a new webtest.server instance,20.69,7.41,20.69,4.1,3.1,2.36,0.0,49.59
returns the max between two numbers.,max returns the maximum of two integers.,61.54,18.18,46.15,62.5,29.88,0.0,0.0,84.25
creates a dummy alert definition to be used by the tests.,createtestalertrule creates a test alert rule with labels and orgid.,28.57,10.53,28.57,33.2,17.41,0.0,0.0,53.87
bind is a helper function for given interface object and returns a gin middleware.,bind returns a handlerfunc that binds the given value to the given value.,29.63,8.0,22.22,33.25,15.43,0.0,0.0,56.04
sends bitcoin to the given address.,sends a bitcoin address to the bitcoin server.,71.43,16.67,57.14,66.67,28.87,0.0,0.0,76.97
will parse x-forwarded-for header and return the trusted client ip address.,validateheader returns the client ip of the given header.,36.36,10.0,27.27,40.94,19.3,0.0,0.0,67.32
sets the label property of a new form.,setlabel adds a label to the form.,53.33,0.0,26.67,55.16,26.37,0.0,0.0,83.86
return the number of permutations of a given string.,returns the number of permutations in a string.,70.59,40.0,70.59,69.6,55.8,43.02,33.01,98.27
generate random maze.,generatemaze generates a random maze of the given width and height.,28.57,16.67,28.57,25.0,15.08,0.0,0.0,80.56
compares up to n elements of two arrays and returns the number of elements in common between the two arrays.,returns the number of elements in the array that are not in the array.,41.18,31.25,41.18,35.75,29.26,26.04,23.32,57.35
contains reports whether s contains x.,contains returns true if the given node is contained in the given slice of nodes.,9.52,0.0,9.52,12.5,0.0,0.0,0.0,51.2
create nft token.,create a new nft object,50.0,0.0,50.0,40.0,0.0,0.0,0.0,63.81
"provides a slice of bytes owned by the segment, to reduce extra copying of memory.",alloc returns the bytes of the segment.,36.36,10.0,27.27,20.29,9.7,0.0,0.0,55.75
send the error response to the client.,writes the error to the response writer.,71.43,33.33,57.14,75.0,46.29,0.0,0.0,63.99
returns the last handler in the chain. i.e. the last handler is the main one.,last() returns the last handler in the chain,66.67,54.55,58.33,29.43,26.87,25.51,24.3,84.23
calculate the quartile of a list of numbers. the quartile is the middle value of the set of numbers.,quartile returns the quartile of a slice of float64s.,42.86,23.08,35.71,23.3,16.08,12.91,10.06,53.36
