REFERENCE,MODEL,ROUGE1,ROUGE2,ROUGEL,BLEU1,BLEU2,BLEU3,BLEU4,COS
gets the list of records for all files matching the specified base name.,"takes a list of file information records and a file name, and returns a list of all the file information records in the input list that correspond to the specified file name, while preserving the order of the elements in the input list.",28.57,7.41,25.0,19.57,9.33,0.0,0.0,62.83
reverses a list of any length.,takes a list and returns the reverse of that list by recursively processing the list and using an accumulator to store the intermediate results.,20.0,7.14,20.0,16.0,8.16,0.0,0.0,69.17
returns the factorial of a given number.,"calculates the factorial of a given number by recursively calling itself with a decremented input until it reaches the base case of 1, at which point it returns the result of 1.",35.9,32.43,30.77,23.53,20.68,17.49,15.08,76.39
transforms the body of a clause into a list of goals.,"takes a compound term and a list, and decomposes the compound term into a list by recursively processing the compound term until it reaches the last element, at which point it adds the element to the list.",20.83,8.7,16.67,15.0,8.77,5.87,0.0,28.68
succeeds if t is a valid binary tree with integer keys.,"checks whether a given term is a valid binary search tree by ensuring that it is either the atom nil, or a compound term with an integer key, a non-variable value, and valid left and right sub-trees.",28.0,12.5,28.0,19.51,12.1,9.09,6.67,59.87
a set of witnesses have inconsistent testimony if two pieces of testimony belonging to two different witnesses are inconsistent.,"checks whether a given list of people (w) contains any pairs of people whose testimonies are inconsistent with each other, by using member/2 to check each person in the list and inconsistent/2 to check whether their testimonies are inconsistent.",23.33,3.45,20.0,17.02,8.6,5.48,0.0,53.36
"valuates the polynomial given the a,b,c,x values.","calculates the value of a quadratic equation ax^2 + bx + c at a given value of x (x), given the coefficients a (a), b (b), and c (c), by using is/2 to perform the calculation and bind the result to r.",26.92,8.0,23.08,18.64,8.02,0.0,0.0,53.25
takes a list of key-datum pairs (such as keysort could be used to sort) and forms them into a heap.,"converts a list of key-value pairs into a heap data structure, by recursively adding each element to the heap using add_to_heap/5 and updating the tree and counter variables along the way.",35.71,18.52,28.57,25.64,16.43,11.34,0.0,70.57
obtains a socket connection from this node.,"takes a term representing a socket address (a(hostname, port)) and a stream, and either returns the stream associated with the socket address if it exists and is still open, or creates a new connection to the socket and returns the new stream.",12.0,4.17,12.0,7.84,3.96,0.0,0.0,59.3
succeeds if a is the area of shape s.,"calculates the area of a given shape (s) and returns the result as the second argument (a), where the shape can be either a circle or a box.",32.43,17.14,27.03,20.59,11.17,7.31,0.0,67.07
is true when rest contains the elements of set1 except for set1.,"removes all occurrences of elem from list1, while preserving the order of the elements and returning the result in list2.",18.75,6.67,12.5,18.18,9.3,0.0,0.0,36.6
adds a new element with key key and value to the tree t0 creating a new red-black tree tn. duplicated elements are not allowed.,"takes a tree (tree0), a key (key), a value (val), and a sentinel (nil) as arguments, and inserts a new key-value pair into the tree, preserving the red-black tree properties, and returns the resulting tree (tree).",38.1,16.39,31.75,22.64,11.43,0.0,0.0,60.36
gets the list of records for all files whose modification time is within the given range.,"takes a list of file information records (fileinfos), a start date (start), and an end date (end), and returns a sublist of fileinfos containing only the records whose creation date (time) is within the specified date range (i.e., start <= time <= end), while preserving the order of the elements in the input list.",28.99,11.94,26.09,14.67,7.71,4.33,0.0,67.41
is true if and only if filterlist is a list containing only the elements of list that satisfy goal.,"takes a predicate (p) and a list (list) as arguments, and returns a sublist of list containing only the elements that satisfy the predicate, by recursively processing the list and using the call/1 and !/0 predicates to apply the predicate to each element and determine whether to include it in the result.",30.56,20.0,25.0,19.05,14.66,10.19,7.71,40.85
"succeeds if the item represents a valid circle x,y represents the centrepoint of a circle on an x,y plane r represents the radius of the circle.","checks whether the given arguments (x, y, and r) represent a valid circle by ensuring that they are all numbers and that the radius (r) is a positive number.",35.09,14.55,24.56,36.11,22.71,14.48,0.0,68.55
reads a word from the user then lists all anagrams.,"converts the word into a list of characters (list), generates all permutations of the list (result), converts each permutation back into a word (anagram), and writes the permuted word to the output, until the fail/0 predicate is reached, at which point the program terminates.",14.55,3.77,10.91,8.62,3.89,0.0,0.0,55.6
generates all subsets of the given set (once each).,generate or check whether a given list (subset) is a subset of another list (set).,25.0,0.0,16.67,30.0,12.57,0.0,0.0,64.99
"transforms a list, possibly holding lists as elements into a flat list by replacing each list with its elements recursively.","takes a list (list) and returns a flattened version of the list, where all sublists within list are recursively flattened and the elements are appended to a result list (result) using the append/3 predicate.",25.45,3.77,21.82,21.43,10.22,0.0,0.0,67.11
"is true when the two arguments represent the same set. since they are assumed to be ordered representations, they must be identical.",checks whether the two given sets (set1 and set2) are equal,18.18,6.45,18.18,9.17,5.51,0.0,0.0,27.22
delete an element from a list by just not including it when it's found.,"takes an element (element) and a list (list) as arguments, and returns a new list (result) with all occurrences of element removed from list.",25.64,10.81,20.51,18.75,11.0,0.0,0.0,55.86
